"filename", "language", "Python", "JSON", "HTML", "XML", "JavaScript", "Markdown", "Excel", "SQL", "comment", "blank", "total"
"g:\python\SCSystem\static\jquery\src\core\isAttached.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 5, 4, 27
"g:\python\SCSystem\static\jquery\src\core\nodeName.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 7, 14
"g:\python\SCSystem\static\jquery\src\core\parseHTML.js", "JavaScript", 0, 0, 0, 0, 40, 0, 0, 0, 11, 15, 66
"g:\python\SCSystem\static\jquery\src\core\parseXML.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 3, 7, 36
"g:\python\SCSystem\static\jquery\src\core\ready-no-deferred.js", "JavaScript", 0, 0, 0, 0, 56, 0, 0, 0, 19, 23, 98
"g:\python\SCSystem\static\jquery\src\core\ready.js", "JavaScript", 0, 0, 0, 0, 44, 0, 0, 0, 20, 23, 87
"g:\python\SCSystem\static\jquery\src\core\readyException.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"g:\python\SCSystem\static\jquery\src\core\stripAndCollapse.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 2, 3, 15
"g:\python\SCSystem\static\jquery\src\core\support.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 5, 4, 21
"g:\python\SCSystem\static\jquery\src\core\toType.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 0, 1, 5, 21
"g:\python\SCSystem\static\jquery\src\core\var\rsingleTag.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 2, 2, 8
"g:\python\SCSystem\static\jquery\src\css.js", "JavaScript", 0, 0, 0, 0, 313, 0, 0, 0, 92, 91, 496
"g:\python\SCSystem\static\jquery\src\css\addGetHookIf.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 0, 4, 8, 27
"g:\python\SCSystem\static\jquery\src\css\adjustCSS.js", "JavaScript", 0, 0, 0, 0, 50, 0, 0, 0, 9, 16, 75
"g:\python\SCSystem\static\jquery\src\css\curCSS.js", "JavaScript", 0, 0, 0, 0, 42, 0, 0, 0, 23, 16, 81
"g:\python\SCSystem\static\jquery\src\css\finalPropName.js", "JavaScript", 0, 0, 0, 0, 30, 0, 0, 0, 3, 10, 43
"g:\python\SCSystem\static\jquery\src\css\hiddenVisibleSelectors.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"g:\python\SCSystem\static\jquery\src\css\showHide.js", "JavaScript", 0, 0, 0, 0, 81, 0, 0, 0, 6, 19, 106
"g:\python\SCSystem\static\jquery\src\css\support.js", "JavaScript", 0, 0, 0, 0, 91, 0, 0, 0, 35, 27, 153
"g:\python\SCSystem\static\jquery\src\css\var\cssExpand.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"g:\python\SCSystem\static\jquery\src\css\var\getStyles.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 3, 5, 18
"g:\python\SCSystem\static\jquery\src\css\var\isHiddenWithinTree.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 15, 7, 35
"g:\python\SCSystem\static\jquery\src\css\var\rboxStyle.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"g:\python\SCSystem\static\jquery\src\css\var\rcustomProp.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 8
"g:\python\SCSystem\static\jquery\src\css\var\rnumnonpx.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"g:\python\SCSystem\static\jquery\src\css\var\swap.js", "JavaScript", 0, 0, 0, 0, 16, 0, 0, 0, 3, 8, 27
"g:\python\SCSystem\static\jquery\src\data.js", "JavaScript", 0, 0, 0, 0, 116, 0, 0, 0, 31, 34, 181
